Waiting for Blazegraph to finish starting up...
2024-10-28 09:35:17.175:INFO::main: Logging initialized @1962ms to org.eclipse.jetty.util.log.StdErrLog
2024-10-28 09:35:18.253:WARN:oejx.XmlConfiguration:main: Property 'jetty.port' is deprecated, use 'jetty.http.port' instead
2024-10-28 09:35:21.477:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$3 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$3.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$3.class
2024-10-28 09:35:21.477:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$4 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$4.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$4.class
2024-10-28 09:35:21.477:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.AbstractMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/AbstractMap.class
2024-10-28 09:35:21.478:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.Benchmark scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/Benchmark.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/Benchmark.class
2024-10-28 09:35:21.477:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$5 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$5.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$5.class
2024-10-28 09:35:21.478:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$6 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$6.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$6.class
2024-10-28 09:35:21.478:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$7 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$7.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$7.class
2024-10-28 09:35:21.478:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$8 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$8.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$8.class
2024-10-28 09:35:21.479:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap$9 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$9.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap$9.class
2024-10-28 09:35:21.479:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.HashFunctions scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/HashFunctions.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/HashFunctions.class
2024-10-28 09:35:21.479:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.OpenDoubleIntHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/OpenDoubleIntHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/OpenDoubleIntHashMap.class
2024-10-28 09:35:21.479:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntDoubleMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntDoubleMap.class
2024-10-28 09:35:21.480:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.OpenIntDoubleHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/OpenIntDoubleHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/OpenIntDoubleHashMap.class
2024-10-28 09:35:21.480:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$1 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$1.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$1.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$10 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$10.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$10.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$11 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$11.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$11.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$2 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$2.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$2.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$3 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$3.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$3.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.OpenIntIntHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/OpenIntIntHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/OpenIntIntHashMap.class
2024-10-28 09:35:21.481:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.OpenIntObjectHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/OpenIntObjectHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/OpenIntObjectHashMap.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.OpenLongObjectHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/OpenLongObjectHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/OpenLongObjectHashMap.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.PrimeFinder scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/PrimeFinder.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/PrimeFinder.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.map.QuickOpenIntIntHashMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/QuickOpenIntIntHashMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/map/QuickOpenIntIntHashMap.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleFactory1D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleFactory1D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleFactory1D.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleFactory2D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleFactory2D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleFactory2D.class
2024-10-28 09:35:21.482:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$4 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$4.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$4.class
2024-10-28 09:35:21.483:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$5 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$5.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$5.class
2024-10-28 09:35:21.483:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$6 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$6.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$6.class
2024-10-28 09:35:21.483:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$7 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$7.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$7.class
2024-10-28 09:35:21.484:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$8 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$8.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$8.class
2024-10-28 09:35:21.484:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap$9 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$9.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap$9.class
2024-10-28 09:35:21.484:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleFactory3D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleFactory3D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleFactory3D.class
2024-10-28 09:35:21.485:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix1D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix1D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix1D.class
2024-10-28 09:35:21.485:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntIntMap scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntIntMap.class
2024-10-28 09:35:21.486:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$1 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$1.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$1.class
2024-10-28 09:35:21.486:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix1DProcedure scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix1DProcedure.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix1DProcedure.class
2024-10-28 09:35:21.486:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix2D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix2D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix2D.class
2024-10-28 09:35:21.486:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$10 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$10.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$10.class
2024-10-28 09:35:21.487:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$11 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$11.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$11.class
2024-10-28 09:35:21.488:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix2DProcedure scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix2DProcedure.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix2DProcedure.class
2024-10-28 09:35:21.489:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix3D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix3D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix3D.class
2024-10-28 09:35:21.488:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$2 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$2.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$2.class
2024-10-28 09:35:21.490:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$3 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$3.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$3.class
2024-10-28 09:35:21.490:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$4 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$4.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$4.class
2024-10-28 09:35:21.490:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.map.AbstractIntObjectMap$5 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$5.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/map/AbstractIntObjectMap$5.class
2024-10-28 09:35:21.490:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.matrix.DoubleMatrix3DProcedure scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/matrix/DoubleMatrix3DProcedure.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/matrix/DoubleMatrix3DProcedure.class
